Date,Name / Description,Expense/Income,Amount (EUR),Category,Transaction,Transaction vs category
2023-01-12,pago renta mensual 16,Expense,284.0,Rent,pago renta mensual 16,pago renta mensual 16 (Rent)
2023-01-12,taxi de noche,Expense,292.66,Transport,taxi de noche,taxi de noche (Transport)
2023-01-12,alquiler coche,Expense,244.01,Travel,alquiler coche,alquiler coche (Travel)
2023-01-13,amazon compra online 5,Expense,60.6,Shopping,amazon compra online 5,amazon compra online 5 (Shopping)
2023-01-14,pago cliente proyecto,Income,367.21,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-01-14,pago renta mensual,Expense,130.25,Rent,pago renta mensual,pago renta mensual (Rent)
2023-01-15,telmex internet,Expense,153.18,Utilities,telmex internet,telmex internet (Utilities)
2023-01-16,taxi de noche,Expense,137.47,Transport,taxi de noche,taxi de noche (Transport)
2023-01-17,gasolinera magna 12,Expense,253.57,Transport,gasolinera magna 12,gasolinera magna 12 (Transport)
2023-01-17,gimnasio membresia,Expense,222.9,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-01-18,colegiatura universidad,Expense,122.85,Education,colegiatura universidad,colegiatura universidad (Education)
2023-01-19,spa masaje,Expense,151.03,Personal Care,spa masaje,spa masaje (Personal Care)
2023-01-19,libros de texto 3,Expense,217.23,Education,libros de texto 3,libros de texto 3 (Education)
2023-01-19,oxxo comida rapida,Expense,112.77,Groceries,oxxo comida rapida,oxxo comida rapida (Groceries)
2023-01-20,walmart compra semanal,Expense,48.63,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-01-20,supermercado la esquina,Expense,95.91,Groceries,supermercado la esquina,supermercado la esquina (Groceries)
2023-01-21,netflix premium,Expense,134.1,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-01-21,peluqueria corte,Expense,89.78,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-01-22,reembolso compra,Income,115.14,Refund,reembolso compra,reembolso compra (Refund)
2023-01-22,ropa de marca,Expense,226.08,Shopping,ropa de marca,ropa de marca (Shopping)
2023-01-22,deposito nomina mensual,Income,511.41,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-01-23,electronicos gadget,Expense,252.49,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-01-23,gimnasio membresia,Expense,194.77,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-01-23,libros de texto,Expense,96.49,Education,libros de texto,libros de texto (Education)
2023-01-24,pago renta mensual,Expense,115.41,Rent,pago renta mensual,pago renta mensual (Rent)
2023-01-24,libros de texto 7,Expense,84.62,Education,libros de texto 7,libros de texto 7 (Education)
2023-01-24,spotify ab by adyen 53,Expense,27.67,Subscriptions,spotify ab by adyen 53,spotify ab by adyen 53 (Subscriptions)
2023-01-25,colegiatura universidad,Expense,75.65,Education,colegiatura universidad,colegiatura universidad (Education)
2023-01-25,colegiatura universidad 92,Expense,279.26,Education,colegiatura universidad 92,colegiatura universidad 92 (Education)
2023-01-26,pago renta mensual,Expense,188.73,Rent,pago renta mensual,pago renta mensual (Rent)
2023-01-27,cineplex boletos,Expense,80.06,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-01-27,concierto ticketmaster 27,Expense,19.3,Entertainment,concierto ticketmaster 27,concierto ticketmaster 27 (Entertainment)
2023-01-27,electronicos gadget,Expense,298.44,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-01-28,concierto ticketmaster,Expense,31.94,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-01-28,restaurante italiano,Expense,146.21,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-01-29,gimnasio membresia,Expense,107.56,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-01-29,mcdonalds burger 37,Expense,264.37,Dining Out,mcdonalds burger 37,mcdonalds burger 37 (Dining Out)
2023-01-29,videojuego steam,Expense,38.76,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-01-30,tienda de abarrotes,Expense,214.9,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-01-31,mcdonalds burger,Expense,15.9,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-01-31,pago renta mensual,Expense,253.83,Rent,pago renta mensual,pago renta mensual (Rent)
2023-02-01,regalo de cumpleaños,Income,868.3,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-02-02,cafeteria la pausa,Expense,288.72,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-02-02,netflix premium,Expense,214.77,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-02-03,agua y drenaje,Expense,8.93,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-02-04,pago renta mensual,Expense,63.44,Rent,pago renta mensual,pago renta mensual (Rent)
2023-02-04,restaurante italiano,Expense,139.2,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-02-04,gimnasio membresia,Expense,95.94,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-02-05,supermercado la esquina 68,Expense,177.69,Groceries,supermercado la esquina 68,supermercado la esquina 68 (Groceries)
2023-02-06,taxi de noche,Expense,296.11,Transport,taxi de noche,taxi de noche (Transport)
2023-02-06,cafeteria la pausa,Expense,57.53,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-02-06,uber viaje,Expense,286.17,Transport,uber viaje,uber viaje (Transport)
2023-02-07,reembolso compra,Income,1667.13,Refund,reembolso compra,reembolso compra (Refund)
2023-02-07,libros de texto,Expense,103.76,Education,libros de texto,libros de texto (Education)
2023-02-08,oxxo comida rapida,Expense,53.59,Groceries,oxxo comida rapida,oxxo comida rapida (Groceries)
2023-02-09,pago renta mensual,Expense,47.12,Rent,pago renta mensual,pago renta mensual (Rent)
2023-02-09,ropa de marca,Expense,37.81,Shopping,ropa de marca,ropa de marca (Shopping)
2023-02-10,oxxo comida rapida,Expense,286.89,Groceries,oxxo comida rapida,oxxo comida rapida (Groceries)
2023-02-10,cafeteria la pausa,Expense,134.56,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-02-11,dividendo acciones,Income,1535.14,Investment,dividendo acciones,dividendo acciones (Investment)
2023-02-12,tienda de abarrotes,Expense,21.03,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-02-12,supermercado la esquina,Expense,238.14,Groceries,supermercado la esquina,supermercado la esquina (Groceries)
2023-02-12,dividendo acciones,Income,1846.36,Investment,dividendo acciones,dividendo acciones (Investment)
2023-02-13,concierto ticketmaster,Expense,45.65,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-02-14,consulta medico,Expense,36.62,Health,consulta medico,consulta medico (Health)
2023-02-15,deposito nomina mensual,Income,734.94,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-02-16,peluqueria corte,Expense,138.2,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-02-16,reembolso compra 36,Income,1592.25,Refund,reembolso compra 36,reembolso compra 36 (Refund)
2023-02-17,netflix premium,Expense,172.02,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-02-17,cineplex boletos,Expense,194.35,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-02-17,libros de texto,Expense,79.83,Education,libros de texto,libros de texto (Education)
2023-02-18,deposito nomina mensual,Income,1064.97,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-02-18,mcdonalds burger,Expense,35.16,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-02-19,dividendo acciones,Income,1895.84,Investment,dividendo acciones,dividendo acciones (Investment)
2023-02-20,uber viaje,Expense,157.08,Transport,uber viaje,uber viaje (Transport)
2023-02-20,netflix premium,Expense,25.06,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-02-20,regalo de cumpleaños,Income,427.92,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-02-21,uber viaje,Expense,64.48,Transport,uber viaje,uber viaje (Transport)
2023-02-21,tienda de abarrotes,Expense,132.44,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-02-22,cineplex boletos,Expense,217.03,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-02-23,gimnasio membresia,Expense,171.61,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-02-24,colegiatura universidad,Expense,188.68,Education,colegiatura universidad,colegiatura universidad (Education)
2023-02-24,spotify ab by adyen,Expense,264.2,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-02-25,colegiatura universidad,Expense,232.19,Education,colegiatura universidad,colegiatura universidad (Education)
2023-02-25,pago renta mensual,Expense,25.8,Rent,pago renta mensual,pago renta mensual (Rent)
2023-02-25,telmex internet 42,Expense,143.35,Utilities,telmex internet 42,telmex internet 42 (Utilities)
2023-02-26,pago cliente proyecto,Income,303.62,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-02-26,consulta medico,Expense,39.9,Health,consulta medico,consulta medico (Health)
2023-02-27,dividendo acciones,Income,810.33,Investment,dividendo acciones,dividendo acciones (Investment)
2023-02-27,pago renta mensual 45,Expense,24.89,Rent,pago renta mensual 45,pago renta mensual 45 (Rent)
2023-02-27,alquiler coche,Expense,248.35,Travel,alquiler coche,alquiler coche (Travel)
2023-02-28,farmacia benavides,Expense,104.89,Health,farmacia benavides,farmacia benavides (Health)
2023-03-01,regalo de cumpleaños,Income,1296.15,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-03-01,telmex internet,Expense,271.99,Utilities,telmex internet,telmex internet (Utilities)
2023-03-01,amazon compra online,Expense,188.46,Shopping,amazon compra online,amazon compra online (Shopping)
2023-03-02,telmex internet,Expense,130.53,Utilities,telmex internet,telmex internet (Utilities)
2023-03-03,peluqueria corte,Expense,257.39,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-03-03,spa masaje 1,Expense,125.52,Personal Care,spa masaje 1,spa masaje 1 (Personal Care)
2023-03-04,pago renta mensual,Expense,212.26,Rent,pago renta mensual,pago renta mensual (Rent)
2023-03-05,colegiatura universidad,Expense,26.07,Education,colegiatura universidad,colegiatura universidad (Education)
2023-03-05,videojuego steam,Expense,271.83,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-03-05,telmex internet 47,Expense,121.34,Utilities,telmex internet 47,telmex internet 47 (Utilities)
2023-03-06,recarga mi transporte 46,Expense,129.49,Transport,recarga mi transporte 46,recarga mi transporte 46 (Transport)
2023-03-06,deposito nomina mensual,Income,1859.61,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-03-07,spa masaje,Expense,250.19,Personal Care,spa masaje,spa masaje (Personal Care)
2023-03-07,gasolinera magna 91,Expense,48.44,Transport,gasolinera magna 91,gasolinera magna 91 (Transport)
2023-03-08,pago renta mensual,Expense,288.92,Rent,pago renta mensual,pago renta mensual (Rent)
2023-03-08,pago renta mensual,Expense,105.99,Rent,pago renta mensual,pago renta mensual (Rent)
2023-03-09,oxxo comida rapida,Expense,62.35,Groceries,oxxo comida rapida,oxxo comida rapida (Groceries)
2023-03-10,cafeteria la pausa 64,Expense,69.32,Dining Out,cafeteria la pausa 64,cafeteria la pausa 64 (Dining Out)
2023-03-10,regalo de cumpleaños,Income,1345.92,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-03-11,dividendo acciones,Income,1047.65,Investment,dividendo acciones,dividendo acciones (Investment)
2023-03-11,concierto ticketmaster,Expense,110.21,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-03-12,tienda de abarrotes,Expense,211.3,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-03-13,regalo de cumpleaños,Income,449.17,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-03-14,consulta medico,Expense,22.48,Health,consulta medico,consulta medico (Health)
2023-03-15,libros de texto,Expense,34.87,Education,libros de texto,libros de texto (Education)
2023-03-16,spotify ab by adyen,Expense,152.14,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-03-16,cineplex boletos 75,Expense,260.69,Entertainment,cineplex boletos 75,cineplex boletos 75 (Entertainment)
2023-03-16,spotify ab by adyen,Expense,152.69,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-03-17,colegiatura universidad,Expense,111.08,Education,colegiatura universidad,colegiatura universidad (Education)
2023-03-18,seguro de gastos medicos,Expense,277.29,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-03-18,reembolso compra,Income,1783.86,Refund,reembolso compra,reembolso compra (Refund)
2023-03-19,pago renta mensual,Expense,228.42,Rent,pago renta mensual,pago renta mensual (Rent)
2023-03-19,uber viaje 33,Expense,288.06,Transport,uber viaje 33,uber viaje 33 (Transport)
2023-03-20,mcdonalds burger,Expense,297.94,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-03-20,netflix premium,Expense,57.01,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-03-20,hotel la playa,Expense,194.49,Travel,hotel la playa,hotel la playa (Travel)
2023-03-21,walmart compra semanal,Expense,168.71,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-03-21,pago renta mensual,Expense,209.32,Rent,pago renta mensual,pago renta mensual (Rent)
2023-03-22,videojuego steam 17,Expense,190.43,Entertainment,videojuego steam 17,videojuego steam 17 (Entertainment)
2023-03-23,taxi de noche,Expense,12.73,Transport,taxi de noche,taxi de noche (Transport)
2023-03-23,gasolinera magna,Expense,100.2,Transport,gasolinera magna,gasolinera magna (Transport)
2023-03-24,concierto ticketmaster,Expense,63.93,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-03-25,ropa de marca,Expense,278.12,Shopping,ropa de marca,ropa de marca (Shopping)
2023-03-25,gimnasio membresia,Expense,146.78,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-03-26,oxxo comida rapida 97,Expense,178.06,Groceries,oxxo comida rapida 97,oxxo comida rapida 97 (Groceries)
2023-03-27,cafeteria la pausa,Expense,258.65,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-03-27,farmacia benavides,Expense,41.68,Health,farmacia benavides,farmacia benavides (Health)
2023-03-28,supermercado la esquina,Expense,116.79,Groceries,supermercado la esquina,supermercado la esquina (Groceries)
2023-03-29,telmex internet,Expense,221.11,Utilities,telmex internet,telmex internet (Utilities)
2023-03-30,telmex internet,Expense,128.52,Utilities,telmex internet,telmex internet (Utilities)
2023-03-31,electronicos gadget,Expense,262.32,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-03-31,libros de texto,Expense,198.53,Education,libros de texto,libros de texto (Education)
2023-04-01,agua y drenaje 24,Expense,163.84,Utilities,agua y drenaje 24,agua y drenaje 24 (Utilities)
2023-04-01,seguro de gastos medicos,Expense,265.22,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-04-01,libros de texto,Expense,213.0,Education,libros de texto,libros de texto (Education)
2023-04-02,alquiler coche,Expense,41.18,Travel,alquiler coche,alquiler coche (Travel)
2023-04-03,amazon compra online,Expense,31.39,Shopping,amazon compra online,amazon compra online (Shopping)
2023-04-04,cineplex boletos 86,Expense,214.43,Entertainment,cineplex boletos 86,cineplex boletos 86 (Entertainment)
2023-04-04,peluqueria corte,Expense,85.61,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-04-04,agua y drenaje 16,Expense,159.67,Utilities,agua y drenaje 16,agua y drenaje 16 (Utilities)
2023-04-05,gasolinera magna,Expense,177.06,Transport,gasolinera magna,gasolinera magna (Transport)
2023-04-06,reembolso compra 6,Income,1511.95,Refund,reembolso compra 6,reembolso compra 6 (Refund)
2023-04-06,taxi de noche 40,Expense,232.23,Transport,taxi de noche 40,taxi de noche 40 (Transport)
2023-04-06,videojuego steam,Expense,149.64,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-04-07,hotel la playa,Expense,54.66,Travel,hotel la playa,hotel la playa (Travel)
2023-04-07,deposito nomina mensual,Income,529.26,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-04-07,agua y drenaje,Expense,255.78,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-04-08,ropa de marca,Expense,30.53,Shopping,ropa de marca,ropa de marca (Shopping)
2023-04-09,peluqueria corte,Expense,103.39,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-04-09,cineplex boletos,Expense,201.15,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-04-09,restaurante italiano,Expense,67.11,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-04-10,pago renta mensual 37,Expense,33.13,Rent,pago renta mensual 37,pago renta mensual 37 (Rent)
2023-04-11,hotel la playa,Expense,96.32,Travel,hotel la playa,hotel la playa (Travel)
2023-04-11,consulta medico,Expense,105.23,Health,consulta medico,consulta medico (Health)
2023-04-12,bono de fin de año,Income,1852.27,Bonus,bono de fin de año,bono de fin de año (Bonus)
2023-04-13,pago renta mensual,Expense,170.56,Rent,pago renta mensual,pago renta mensual (Rent)
2023-04-13,regalo de cumpleaños,Income,600.22,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-04-14,libros de texto,Expense,226.66,Education,libros de texto,libros de texto (Education)
2023-04-14,spa masaje,Expense,176.59,Personal Care,spa masaje,spa masaje (Personal Care)
2023-04-14,mcdonalds burger,Expense,291.72,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-04-15,consulta medico,Expense,290.13,Health,consulta medico,consulta medico (Health)
2023-04-15,oxxo comida rapida 46,Expense,205.38,Groceries,oxxo comida rapida 46,oxxo comida rapida 46 (Groceries)
2023-04-15,cafeteria la pausa,Expense,268.09,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-04-16,gimnasio membresia,Expense,242.72,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-04-16,bono de fin de año,Income,1511.18,Bonus,bono de fin de año,bono de fin de año (Bonus)
2023-04-17,deposito nomina mensual,Income,1577.64,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-04-18,gimnasio membresia,Expense,57.3,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-04-19,gimnasio membresia 55,Expense,42.78,Subscriptions,gimnasio membresia 55,gimnasio membresia 55 (Subscriptions)
2023-04-19,cineplex boletos,Expense,101.08,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-04-19,concierto ticketmaster 10,Expense,154.79,Entertainment,concierto ticketmaster 10,concierto ticketmaster 10 (Entertainment)
2023-04-20,farmacia benavides,Expense,299.97,Health,farmacia benavides,farmacia benavides (Health)
2023-04-20,taxi de noche,Expense,30.49,Transport,taxi de noche,taxi de noche (Transport)
2023-04-20,mcdonalds burger,Expense,38.75,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-04-21,electronicos gadget,Expense,148.31,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-04-22,concierto ticketmaster,Expense,67.8,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-04-22,cafeteria la pausa,Expense,98.84,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-04-23,consulta medico,Expense,190.14,Health,consulta medico,consulta medico (Health)
2023-04-23,spa masaje,Expense,158.2,Personal Care,spa masaje,spa masaje (Personal Care)
2023-04-23,pago renta mensual,Expense,151.36,Rent,pago renta mensual,pago renta mensual (Rent)
2023-04-24,consulta medico,Expense,216.11,Health,consulta medico,consulta medico (Health)
2023-04-24,colegiatura universidad,Expense,219.75,Education,colegiatura universidad,colegiatura universidad (Education)
2023-04-25,peluqueria corte,Expense,181.64,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-04-25,reembolso compra,Income,551.14,Refund,reembolso compra,reembolso compra (Refund)
2023-04-26,libros de texto,Expense,174.1,Education,libros de texto,libros de texto (Education)
2023-04-26,reembolso compra,Income,1386.31,Refund,reembolso compra,reembolso compra (Refund)
2023-04-26,pago cliente proyecto,Income,1359.3,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-04-27,walmart compra semanal,Expense,120.52,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-04-27,cineplex boletos,Expense,72.54,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-04-27,telmex internet,Expense,244.74,Utilities,telmex internet,telmex internet (Utilities)
2023-04-28,reembolso compra,Income,1188.46,Refund,reembolso compra,reembolso compra (Refund)
2023-04-28,spotify ab by adyen,Expense,115.38,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-04-29,recarga mi transporte,Expense,29.14,Transport,recarga mi transporte,recarga mi transporte (Transport)
2023-04-29,farmacia benavides,Expense,251.78,Health,farmacia benavides,farmacia benavides (Health)
2023-04-30,agua y drenaje,Expense,220.46,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-04-30,reembolso compra,Income,1898.07,Refund,reembolso compra,reembolso compra (Refund)
2023-04-30,farmacia benavides 97,Expense,173.03,Health,farmacia benavides 97,farmacia benavides 97 (Health)
2023-05-01,telmex internet 72,Expense,32.45,Utilities,telmex internet 72,telmex internet 72 (Utilities)
2023-05-01,restaurante italiano,Expense,6.19,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-05-02,dividendo acciones,Income,1672.21,Investment,dividendo acciones,dividendo acciones (Investment)
2023-05-02,tienda de abarrotes,Expense,14.87,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-05-02,amazon compra online,Expense,36.12,Shopping,amazon compra online,amazon compra online (Shopping)
2023-05-03,gimnasio membresia,Expense,172.89,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-05-03,pago renta mensual 75,Expense,247.41,Rent,pago renta mensual 75,pago renta mensual 75 (Rent)
2023-05-03,agua y drenaje,Expense,77.11,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-05-04,uber viaje,Expense,206.12,Transport,uber viaje,uber viaje (Transport)
2023-05-04,pago renta mensual,Expense,168.8,Rent,pago renta mensual,pago renta mensual (Rent)
2023-05-05,videojuego steam,Expense,297.06,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-05-05,telmex internet 78,Expense,55.66,Utilities,telmex internet 78,telmex internet 78 (Utilities)
2023-05-05,libros de texto,Expense,194.13,Education,libros de texto,libros de texto (Education)
2023-05-06,electronicos gadget,Expense,47.01,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-05-06,spa masaje,Expense,207.41,Personal Care,spa masaje,spa masaje (Personal Care)
2023-05-06,libros de texto,Expense,194.08,Education,libros de texto,libros de texto (Education)
2023-05-07,peluqueria corte,Expense,7.12,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-05-07,pago renta mensual 73,Expense,189.32,Rent,pago renta mensual 73,pago renta mensual 73 (Rent)
2023-05-07,alquiler coche 66,Expense,75.78,Travel,alquiler coche 66,alquiler coche 66 (Travel)
2023-05-08,pago cliente proyecto,Income,734.13,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-05-08,pago renta mensual,Expense,193.63,Rent,pago renta mensual,pago renta mensual (Rent)
2023-05-09,deposito nomina mensual,Income,1651.66,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-05-09,cfe recibo luz,Expense,32.67,Utilities,cfe recibo luz,cfe recibo luz (Utilities)
2023-05-09,agua y drenaje 84,Expense,105.29,Utilities,agua y drenaje 84,agua y drenaje 84 (Utilities)
2023-05-10,colegiatura universidad,Expense,143.7,Education,colegiatura universidad,colegiatura universidad (Education)
2023-05-11,spa masaje 54,Expense,283.21,Personal Care,spa masaje 54,spa masaje 54 (Personal Care)
2023-05-11,gasolinera magna,Expense,155.08,Transport,gasolinera magna,gasolinera magna (Transport)
2023-05-11,mcdonalds burger,Expense,107.26,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-05-12,pago renta mensual,Expense,63.49,Rent,pago renta mensual,pago renta mensual (Rent)
2023-05-12,mcdonalds burger,Expense,15.26,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-05-13,pago renta mensual,Expense,77.13,Rent,pago renta mensual,pago renta mensual (Rent)
2023-05-13,hotel la playa,Expense,55.02,Travel,hotel la playa,hotel la playa (Travel)
2023-05-14,telmex internet,Expense,151.45,Utilities,telmex internet,telmex internet (Utilities)
2023-05-15,bono de fin de año,Income,1343.55,Bonus,bono de fin de año,bono de fin de año (Bonus)
2023-05-16,reembolso compra,Income,791.58,Refund,reembolso compra,reembolso compra (Refund)
2023-05-17,pago renta mensual,Expense,119.13,Rent,pago renta mensual,pago renta mensual (Rent)
2023-05-18,mcdonalds burger,Expense,9.87,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-05-18,regalo de cumpleaños,Income,1764.07,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-05-19,videojuego steam,Expense,75.96,Entertainment,videojuego steam,videojuego steam (Entertainment)
